PeakID (cmd=annotatePeaks.pl overlapped_H3K27ac.bed /media/dimbo/10T/data/talianidis_data/genomes/mm10/hisat_index/mm10.fa -gtf /media/dimbo/10T/data/talianidis_data/genomes/mm10/genes_info/mm10_GENES_GENCODE.VM23.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
H3K27ac_i73_peak_6514	chr4	10919236	10919515	+	34	NA	Intergenic	Intergenic	-27233	ENSMUST00000117608.1	ENSMUST00000117608	ENSMUST00000117608						NA
H3K27ac_i73_peak_7287	chr5	37650205	37650424	+	34	NA	intron (ENSMUST00000094836.5, intron 1 of 11)	-intron (ENSMUST00000094836.5, intron 1 of 11)	66857	ENSMUST00000094836.5	ENSMUST00000094836	ENSMUST00000094836						NA
H3K27ac_i73_peak_9678	chr8	120538483	120539053	+	34	NA	promoter-TSS (ENSMUST00000184722.1)	-promoter-TSS (ENSMUST00000184722.1)	72	ENSMUST00000184722.1	ENSMUST00000184722	ENSMUST00000184722						NA
H3K27ac_i73_peak_5959	chr2	165954896	165955143	+	34	NA	Intergenic	Intergenic	-4770	ENSMUST00000117749.1	ENSMUST00000117749	ENSMUST00000117749						NA
H3K27ac_i73_peak_2757	chr14	7951845	7952650	+	34	NA	TTS (ENSMUST00000052678.8)	-TTS (ENSMUST00000052678.8)	-5041	ENSMUST00000211339.1	ENSMUST00000211339	ENSMUST00000211339						NA
H3K27ac_i73_peak_6227	chr3	89279429	89279730	+	34	NA	promoter-TSS (ENSMUST00000029566.8)	-promoter-TSS (ENSMUST00000029566.8)	62	ENSMUST00000118860.1	ENSMUST00000118860	ENSMUST00000118860						NA
H3K27ac_i73_peak_5522	chr2	50296326	50296815	+	34	NA	promoter-TSS (ENSMUST00000123699.2)	-promoter-TSS (ENSMUST00000123699.2)	106	ENSMUST00000140563.1	ENSMUST00000140563	ENSMUST00000140563						NA
H3K27ac_i73_peak_767	chr10	45100457	45100758	+	34	NA	intron (ENSMUST00000099858.3, intron 6 of 14)	-intron (ENSMUST00000099858.3, intron 6 of 14)	-4899	ENSMUST00000103894.1	ENSMUST00000103894	ENSMUST00000103894						NA
H3K27ac_i73_peak_1745	chr11	98951078	98951934	+	34	NA	intron (ENSMUST00000164748.7, intron 2 of 8)	-intron (ENSMUST00000068133.9, intron 3 of 9)	5062	ENSMUST00000082557.1	ENSMUST00000082557	ENSMUST00000082557						NA
H3K27ac_i73_peak_1924	chr11	116198391	116198607	+	34	NA	promoter-TSS (ENSMUST00000021130.6)	-promoter-TSS (ENSMUST00000021130.6)	230	ENSMUST00000124684.1	ENSMUST00000124684	ENSMUST00000124684						NA
H3K27ac_i73_peak_8320	chr6	129229645	129231224	+	34	NA	intron (ENSMUST00000205051.2, intron 2 of 3)	-intron (ENSMUST00000181238.1, intron 1 of 2)	3540	ENSMUST00000181517.7	ENSMUST00000181517	ENSMUST00000181517						NA
H3K27ac_i73_peak_8639	chr7	38189294	38189796	+	33	NA	TTS (ENSMUST00000177983.1)	-TTS (ENSMUST00000177983.1)	3274	ENSMUST00000179503.2	ENSMUST00000179503	ENSMUST00000179503						NA
H3K27ac_i73_peak_518	chr1	171223821	171224070	+	33	NA	Intergenic	Intergenic	-1109	ENSMUST00000111321.7	ENSMUST00000111321	ENSMUST00000111321						NA
H3K27ac_i73_peak_2857	chr14	25767724	25768661	+	33	NA	intron (ENSMUST00000069180.7, intron 1 of 3)	-intron (ENSMUST00000069180.7, intron 1 of 3)	847	ENSMUST00000069180.7	ENSMUST00000069180	ENSMUST00000069180						NA
H3K27ac_i73_peak_1744	chr11	98949518	98950085	+	33	NA	intron (ENSMUST00000139399.1, intron 2 of 2)	-intron (ENSMUST00000068133.9, intron 2 of 9)	3357	ENSMUST00000082557.1	ENSMUST00000082557	ENSMUST00000082557						NA
H3K27ac_i73_peak_3007	chr14	60656519	60657098	+	33	NA	intron (ENSMUST00000159135.1, intron 2 of 2)	-intron (ENSMUST00000022566.13, intron 1 of 12)	22053	ENSMUST00000159135.1	ENSMUST00000159135	ENSMUST00000159135						NA
H3K27ac_i73_peak_6375	chr3	107939701	107939900	+	33	NA	intron (ENSMUST00000155926.7, intron 5 of 5)	-intron (ENSMUST00000106683.7, intron 4 of 4)	3562	ENSMUST00000106683.7	ENSMUST00000106683	ENSMUST00000106683						NA
H3K27ac_i73_peak_3967	chr16	43303317	43303713	+	33	NA	TTS (ENSMUST00000134537.2)	-TTS (ENSMUST00000134537.2)	4766	ENSMUST00000192064.1	ENSMUST00000192064	ENSMUST00000192064						NA
H3K27ac_i73_peak_10316	chr9	119981081	119981836	+	33	NA	intron (ENSMUST00000213936.1, intron 1 of 2)	-intron (ENSMUST00000035101.8, intron 1 of 4)	1565	ENSMUST00000214058.1	ENSMUST00000214058	ENSMUST00000214058						NA
H3K27ac_i73_peak_4720	chr18	39363989	39364296	+	33	NA	intron (ENSMUST00000155576.7, intron 22 of 22)	-intron (ENSMUST00000097593.8, intron 22 of 22)	1559	ENSMUST00000133247.1	ENSMUST00000133247	ENSMUST00000133247						NA
H3K27ac_i73_peak_4933-2	chr19	4057787	4059759	+	33	NA	exon (ENSMUST00000076451.6, exon 2 of 6)	-exon (ENSMUST00000076451.6, exon 2 of 6)	522	ENSMUST00000076451.6	ENSMUST00000076451	ENSMUST00000076451						NA
H3K27ac_i73_peak_1408	chr11	53785897	53786928	+	33	NA	intron (ENSMUST00000135815.7, intron 3 of 4)	-intron (ENSMUST00000117316.7, intron 3 of 3)	9463	ENSMUST00000153206.7	ENSMUST00000153206	ENSMUST00000153206						NA
H3K27ac_i73_peak_1488	chr11	67044990	67045209	+	33	NA	intron (ENSMUST00000127407.1, intron 1 of 2)	-intron (ENSMUST00000116363.1, intron 2 of 4)	-4572	ENSMUST00000136013.1	ENSMUST00000136013	ENSMUST00000136013						NA
H3K27ac_i73_peak_1260	chr11	11832838	11833074	+	33	NA	intron (ENSMUST00000178704.7, intron 9 of 14)	-intron (ENSMUST00000066237.9, intron 9 of 14)	3324	ENSMUST00000134401.1	ENSMUST00000134401	ENSMUST00000134401						NA
H3K27ac_i73_peak_5010	chr19	8965724	8965984	+	33	NA	TTS (ENSMUST00000237611.1)	-TTS (ENSMUST00000237611.1)	-1187	ENSMUST00000052248.7	ENSMUST00000052248	ENSMUST00000052248						NA
H3K27ac_i73_peak_9521	chr8	93075322	93075547	+	33	NA	intron (ENSMUST00000109582.2, intron 3 of 13)	-intron (ENSMUST00000109582.2, intron 3 of 13)	4583	ENSMUST00000109582.2	ENSMUST00000109582	ENSMUST00000109582						NA
H3K27ac_i73_peak_3170	chr15	25933117	25934139	+	33	NA	promoter-TSS (ENSMUST00000228327.1)	-promoter-TSS (ENSMUST00000228327.1)	76	ENSMUST00000228327.1	ENSMUST00000228327	ENSMUST00000228327						NA
H3K27ac_i73_peak_842	chr10	71339144	71339618	+	33	NA	intron (ENSMUST00000045887.8, intron 1 of 2)	-intron (ENSMUST00000045887.8, intron 1 of 2)	5573	ENSMUST00000045887.8	ENSMUST00000045887	ENSMUST00000045887						NA
H3K27ac_i73_peak_4107	chr17	13866809	13867134	+	33	NA	intron (ENSMUST00000170827.8, intron 22 of 32)	-intron (ENSMUST00000137708.7, intron 22 of 30)	-4168	ENSMUST00000160079.1	ENSMUST00000160079	ENSMUST00000160079						NA
H3K27ac_i73_peak_3015	chr14	61682878	61683629	+	33	NA	promoter-TSS (ENSMUST00000180377.8)	-promoter-TSS (ENSMUST00000180377.8)	-257	ENSMUST00000194021.1	ENSMUST00000194021	ENSMUST00000194021						NA
H3K27ac_i73_peak_8828	chr7	80647504	80647791	+	33	NA	intron (ENSMUST00000122255.7, intron 2 of 14)	-intron (ENSMUST00000122255.7, intron 2 of 14)	11630	ENSMUST00000142678.1	ENSMUST00000142678	ENSMUST00000142678						NA
H3K27ac_i73_peak_6027	chr2	167942840	167943143	+	33	NA	intron (ENSMUST00000124039.7, intron 2 of 4)	-intron (ENSMUST00000029053.7, intron 1 of 8)	-8057	ENSMUST00000142717.1	ENSMUST00000142717	ENSMUST00000142717						NA
H3K27ac_i73_peak_7297	chr5	45448960	45449492	+	33	NA	intron (ENSMUST00000127562.2, intron 1 of 4)	-intron (ENSMUST00000015950.11, intron 1 of 6)	739	ENSMUST00000120867.7	ENSMUST00000120867	ENSMUST00000120867						NA
H3K27ac_i73_peak_8547	chr7	28809062	28809787	+	33	NA	promoter-TSS (ENSMUST00000172884.7)	-promoter-TSS (ENSMUST00000172884.7)	-94	ENSMUST00000172884.7	ENSMUST00000172884	ENSMUST00000172884						NA
H3K27ac_i73_peak_37	chr1	36088314	36088760	+	33	NA	intron (ENSMUST00000088174.3, intron 1 of 1)	-intron (ENSMUST00000088174.3, intron 1 of 1)	-13153	ENSMUST00000194670.1	ENSMUST00000194670	ENSMUST00000194670						NA
H3K27ac_i73_peak_9260	chr8	24574349	24575161	+	33	NA	intron (ENSMUST00000121992.1, intron 1 of 9)	-intron (ENSMUST00000121992.1, intron 1 of 9)	1578	ENSMUST00000121992.1	ENSMUST00000121992	ENSMUST00000121992						NA
H3K27ac_i73_peak_785	chr10	59950634	59951191	+	33	NA	exon (ENSMUST00000020308.4, exon 3 of 3)	-exon (ENSMUST00000020308.4, exon 3 of 3)	922	ENSMUST00000020308.4	ENSMUST00000020308	ENSMUST00000020308						NA
H3K27ac_i73_peak_6258	chr3	90490961	90491191	+	33	NA	promoter-TSS (ENSMUST00000107351.1)	-promoter-TSS (ENSMUST00000107351.1)	-43	ENSMUST00000149884.1	ENSMUST00000149884	ENSMUST00000149884						NA
H3K27ac_i73_peak_9136-2	chr7	141172276	141173136	+	33	NA	intron (ENSMUST00000167493.8, intron 1 of 9)	-intron (ENSMUST00000167493.8, intron 1 of 9)	151	ENSMUST00000167493.8	ENSMUST00000167493	ENSMUST00000167493						NA
H3K27ac_i73_peak_4997	chr19	7017616	7018004	+	33	NA	exon (ENSMUST00000238171.1, exon 1 of 1)	-exon (ENSMUST00000238171.1, exon 1 of 1)	1535	ENSMUST00000238171.1	ENSMUST00000238171	ENSMUST00000238171						NA
H3K27ac_i73_peak_6429	chr3	122484830	122485031	+	33	NA	intron (ENSMUST00000197073.1, intron 1 of 2)	-intron (ENSMUST00000029766.8, intron 3 of 11)	1207	ENSMUST00000197073.1	ENSMUST00000197073	ENSMUST00000197073						NA
H3K27ac_i73_peak_4354-2	chr17	48041434	48042316	+	33	NA	Intergenic	Intergenic	-3582	ENSMUST00000178823.1	ENSMUST00000178823	ENSMUST00000178823						NA
H3K27ac_i73_peak_10056	chr9	65234802	65235003	+	33	NA	intron (ENSMUST00000216702.1, intron 5 of 6)	-intron (ENSMUST00000069000.8, intron 5 of 6)	19748	ENSMUST00000213766.1	ENSMUST00000213766	ENSMUST00000213766						NA
H3K27ac_i73_peak_5969	chr2	167318522	167319332	+	33	NA	intron (ENSMUST00000109221.8, intron 1 of 8)	-intron (ENSMUST00000109221.8, intron 1 of 8)	-5027	ENSMUST00000133557.1	ENSMUST00000133557	ENSMUST00000133557						NA
H3K27ac_i73_peak_5841	chr2	154657898	154658163	+	33	NA	intron (ENSMUST00000044277.9, intron 1 of 4)	-intron (ENSMUST00000044277.9, intron 1 of 4)	1012	ENSMUST00000044277.9	ENSMUST00000044277	ENSMUST00000044277						NA
H3K27ac_i73_peak_1445	chr11	59228572	59228974	+	33	NA	promoter-TSS (ENSMUST00000061242.7)	-promoter-TSS (ENSMUST00000061242.7)	-503	ENSMUST00000061242.7	ENSMUST00000061242	ENSMUST00000061242						NA
H3K27ac_i73_peak_5185	chr19	47402914	47403289	+	33	NA	intron (ENSMUST00000111800.3, intron 2 of 13)	-intron (ENSMUST00000081619.9, intron 2 of 14)	7258	ENSMUST00000237828.1	ENSMUST00000237828	ENSMUST00000237828						NA
H3K27ac_i73_peak_6317	chr3	97818800	97819373	+	33	NA	intron (ENSMUST00000200232.2, intron 1 of 1)	-intron (ENSMUST00000090750.11, intron 4 of 46)	5535	ENSMUST00000200232.2	ENSMUST00000200232	ENSMUST00000200232						NA
H3K27ac_i73_peak_824	chr10	68231595	68231895	+	33	NA	intron (ENSMUST00000219238.1, intron 3 of 9)	-intron (ENSMUST00000020106.8, intron 3 of 10)	46976	ENSMUST00000020106.8	ENSMUST00000020106	ENSMUST00000020106						NA
H3K27ac_i73_peak_1817	chr11	106256206	106256528	+	33	NA	promoter-TSS (ENSMUST00000021048.6)	-promoter-TSS (ENSMUST00000021048.6)	213	ENSMUST00000133131.1	ENSMUST00000133131	ENSMUST00000133131						NA
H3K27ac_i73_peak_2887	chr14	30944551	30945064	+	33	NA	Intergenic	Intergenic	-1518	ENSMUST00000163118.1	ENSMUST00000163118	ENSMUST00000163118						NA
H3K27ac_i73_peak_7808	chr6	28758370	28758759	+	33	NA	intron (ENSMUST00000167201.1, intron 15 of 16)	-intron (ENSMUST00000001460.13, intron 15 of 23)	-6126	ENSMUST00000171195.7	ENSMUST00000171195	ENSMUST00000171195						NA
H3K27ac_i73_peak_3122	chr14	121252655	121252871	+	33	NA	exon (ENSMUST00000130256.2, exon 2 of 2)	-exon (ENSMUST00000130256.2, exon 2 of 2)	-2145	ENSMUST00000137971.1	ENSMUST00000137971	ENSMUST00000137971						NA
H3K27ac_i73_peak_8249	chr6	124414167	124414523	+	33	NA	promoter-TSS (ENSMUST00000112530.7)	-promoter-TSS (ENSMUST00000112530.7)	88	ENSMUST00000112530.7	ENSMUST00000112530	ENSMUST00000112530						NA
H3K27ac_i73_peak_6359	chr3	104441186	104442098	+	33	NA	intron (ENSMUST00000199180.1, intron 1 of 1)	-intron (ENSMUST00000199180.1, intron 1 of 1)	19869	ENSMUST00000199180.1	ENSMUST00000199180	ENSMUST00000199180						NA
H3K27ac_i73_peak_3862	chr16	24238350	24238579	+	33	NA	intron (ENSMUST00000230869.1, intron 1 of 3)	-intron (ENSMUST00000230383.1, intron 2 of 3)	-21940	ENSMUST00000228980.1	ENSMUST00000228980	ENSMUST00000228980						NA
H3K27ac_i73_peak_7122	chr4	150237759	150237960	+	33	NA	intron (ENSMUST00000141931.1, intron 1 of 3)	-intron (ENSMUST00000080926.12, intron 1 of 11)	159	ENSMUST00000141931.1	ENSMUST00000141931	ENSMUST00000141931						NA
H3K27ac_i73_peak_2327	chr12	104042967	104043444	+	33	NA	intron (ENSMUST00000043915.3, intron 1 of 4)	-intron (ENSMUST00000043915.3, intron 1 of 4)	1238	ENSMUST00000043915.3	ENSMUST00000043915	ENSMUST00000043915						NA
H3K27ac_i73_peak_7063	chr4	142097635	142097902	+	33	NA	Intergenic	Intergenic	12912	ENSMUST00000139653.1	ENSMUST00000139653	ENSMUST00000139653						NA
H3K27ac_i73_peak_6563	chr4	41755625	41756818	+	33	NA	promoter-TSS (ENSMUST00000123524.1)	-promoter-TSS (ENSMUST00000123524.1)	11	ENSMUST00000130698.7	ENSMUST00000130698	ENSMUST00000130698						NA
H3K27ac_i73_peak_3431	chr15	77923489	77924244	+	33	NA	exon (ENSMUST00000109747.8, exon 3 of 3)	-exon (ENSMUST00000109747.8, exon 3 of 3)	3869	ENSMUST00000174529.1	ENSMUST00000174529	ENSMUST00000174529						NA
H3K27ac_i73_peak_6362	chr3	104677732	104678099	+	33	NA	Intergenic	Intergenic	-7905	ENSMUST00000191526.1	ENSMUST00000191526	ENSMUST00000191526						NA
H3K27ac_i73_peak_5696	chr2	118545306	118545608	+	33	NA	promoter-TSS (ENSMUST00000143583.1)	-promoter-TSS (ENSMUST00000143583.1)	-141	ENSMUST00000154521.1	ENSMUST00000154521	ENSMUST00000154521						NA
H3K27ac_i73_peak_7817	chr6	31147593	31147923	+	33	NA	promoter-TSS (ENSMUST00000195025.1)	-promoter-TSS (ENSMUST00000195025.1)	-339	ENSMUST00000195025.1	ENSMUST00000195025	ENSMUST00000195025						NA
H3K27ac_i73_peak_7124	chr4	150568921	150569311	+	33	NA	promoter-TSS (ENSMUST00000128800.1)	-promoter-TSS (ENSMUST00000128800.1)	-472	ENSMUST00000142379.1	ENSMUST00000142379	ENSMUST00000142379						NA
H3K27ac_i73_peak_229	chr1	88586845	88587246	+	33	NA	Intergenic	Intergenic	35528	ENSMUST00000189394.1	ENSMUST00000189394	ENSMUST00000189394						NA
H3K27ac_i73_peak_2162	chr12	59011473	59012002	+	33	NA	intron (ENSMUST00000134223.1, intron 1 of 1)	-intron (ENSMUST00000021375.11, intron 1 of 19)	280	ENSMUST00000134223.1	ENSMUST00000134223	ENSMUST00000134223						NA
H3K27ac_i73_peak_6496	chr3	152191812	152192100	+	33	NA	intron (ENSMUST00000144950.7, intron 2 of 3)	-intron (ENSMUST00000029669.3, intron 4 of 5)	1889	ENSMUST00000050073.12	ENSMUST00000050073	ENSMUST00000050073						NA
H3K27ac_i73_peak_2312	chr12	102691148	102691523	+	33	NA	intron (ENSMUST00000178129.1, intron 2 of 2)	-intron (ENSMUST00000046518.11, intron 1 of 9)	4467	ENSMUST00000179210.1	ENSMUST00000179210	ENSMUST00000179210						NA
H3K27ac_i73_peak_1159	chr10	127747648	127748031	+	33	NA	TTS (ENSMUST00000054287.8)	-TTS (ENSMUST00000054287.8)	3893	ENSMUST00000079692.5	ENSMUST00000079692	ENSMUST00000079692						NA
H3K27ac_i73_peak_1926	chr11	116210403	116211301	+	33	NA	promoter-TSS (ENSMUST00000135460.1)	-promoter-TSS (ENSMUST00000135460.1)	-82	ENSMUST00000135460.1	ENSMUST00000135460	ENSMUST00000135460						NA
H3K27ac_i73_peak_8183	chr6	113658323	113658748	+	33	NA	intron (ENSMUST00000089022.8, intron 2 of 11)	-intron (ENSMUST00000059286.13, intron 2 of 12)	-10315	ENSMUST00000155554.3	ENSMUST00000155554	ENSMUST00000155554						NA
H3K27ac_i73_peak_64	chr1	51893629	51893928	+	33	NA	intron (ENSMUST00000151525.7, intron 1 of 6)	-intron (ENSMUST00000018561.13, intron 1 of 30)	2523	ENSMUST00000144694.1	ENSMUST00000144694	ENSMUST00000144694						NA
H3K27ac_i73_peak_5795	chr2	148680753	148681629	+	33	NA	promoter-TSS (ENSMUST00000131292.1)	-promoter-TSS (ENSMUST00000131292.1)	-20	ENSMUST00000131292.1	ENSMUST00000131292	ENSMUST00000131292						NA
H3K27ac_i73_peak_8778	chr7	75852391	75852687	+	33	NA	intron (ENSMUST00000205887.1, intron 1 of 1)	-intron (ENSMUST00000092073.10, intron 1 of 2)	4098	ENSMUST00000205887.1	ENSMUST00000205887	ENSMUST00000205887						NA
H3K27ac_i73_peak_404	chr1	134222209	134223154	+	33	NA	intron (ENSMUST00000187631.1, intron 2 of 2)	-intron (ENSMUST00000038191.7, intron 1 of 1)	11897	ENSMUST00000169927.1	ENSMUST00000169927	ENSMUST00000169927						NA
H3K27ac_i73_peak_1304	chr11	31827439	31828635	+	33	NA	Intergenic	Intergenic	-3513	ENSMUST00000134944.1	ENSMUST00000134944	ENSMUST00000134944						NA
H3K27ac_i73_peak_4573	chr17	88543142	88543920	+	33	NA	TTS (ENSMUST00000189734.1)	-TTS (ENSMUST00000189734.1)	10504	ENSMUST00000195386.1	ENSMUST00000195386	ENSMUST00000195386						NA
H3K27ac_i73_peak_2574	chr13	54694349	54694782	+	33	NA	promoter-TSS (ENSMUST00000037422.15)	-promoter-TSS (ENSMUST00000037422.15)	-658	ENSMUST00000134862.7	ENSMUST00000134862	ENSMUST00000134862						NA
H3K27ac_i73_peak_2118	chr12	25142230	25142785	+	33	NA	Intergenic	Intergenic	-8408	ENSMUST00000223481.1	ENSMUST00000223481	ENSMUST00000223481						NA
H3K27ac_i73_peak_1529	chr11	70669267	70669978	+	33	NA	promoter-TSS (ENSMUST00000018431.12)	-promoter-TSS (ENSMUST00000018431.12)	-206	ENSMUST00000018431.12	ENSMUST00000018431	ENSMUST00000018431						NA
H3K27ac_i73_peak_7078	chr4	144957882	144958081	+	33	NA	intron (ENSMUST00000193467.1, intron 2 of 2)	-intron (ENSMUST00000193467.1, intron 2 of 2)	867	ENSMUST00000193467.1	ENSMUST00000193467	ENSMUST00000193467						NA
H3K27ac_i73_peak_3486	chr15	80013388	80013963	+	33	NA	promoter-TSS (ENSMUST00000229795.1)	-promoter-TSS (ENSMUST00000229795.1)	-472	ENSMUST00000229795.1	ENSMUST00000229795	ENSMUST00000229795						NA
H3K27ac_i73_peak_10352	chrX	12090596	12090829	+	33	NA	intron (ENSMUST00000043441.12, intron 1 of 13)	-intron (ENSMUST00000043441.12, intron 1 of 13)	-10159	ENSMUST00000124033.7	ENSMUST00000124033	ENSMUST00000124033						NA
H3K27ac_i73_peak_5261	chr2	6388873	6389360	+	33	NA	intron (ENSMUST00000042503.8, intron 1 of 13)	-intron (ENSMUST00000042503.8, intron 1 of 13)	-31806	ENSMUST00000150515.1	ENSMUST00000150515	ENSMUST00000150515						NA
H3K27ac_i73_peak_7841	chr6	37399020	37399361	+	33	NA	intron (ENSMUST00000041093.5, intron 1 of 11)	-intron (ENSMUST00000041093.5, intron 1 of 11)	42956	ENSMUST00000041093.5	ENSMUST00000041093	ENSMUST00000041093						NA
H3K27ac_i73_peak_2360	chr12	110446418	110446780	+	33	NA	promoter-TSS (ENSMUST00000220509.1)	-promoter-TSS (ENSMUST00000220509.1)	-521	ENSMUST00000222276.1	ENSMUST00000222276	ENSMUST00000222276						NA
H3K27ac_i73_peak_9059	chr7	127121205	127121714	+	33	NA	intron (ENSMUST00000129332.1, intron 1 of 2)	-intron (ENSMUST00000032912.5, intron 1 of 3)	559	ENSMUST00000142403.1	ENSMUST00000142403	ENSMUST00000142403						NA
H3K27ac_i73_peak_8869	chr7	90042366	90042738	+	33	NA	promoter-TSS (ENSMUST00000208325.1)	-promoter-TSS (ENSMUST00000208325.1)	-145	ENSMUST00000208325.1	ENSMUST00000208325	ENSMUST00000208325						NA
H3K27ac_i73_peak_4415	chr17	65614017	65614255	+	33	NA	promoter-TSS (ENSMUST00000024897.9)	-promoter-TSS (ENSMUST00000024897.9)	-581	ENSMUST00000024897.9	ENSMUST00000024897	ENSMUST00000024897						NA
H3K27ac_i73_peak_10045	chr9	63760436	63760673	+	33	NA	Intergenic	Intergenic	-2560	ENSMUST00000034973.9	ENSMUST00000034973	ENSMUST00000034973						NA
H3K27ac_i73_peak_6589	chr4	45471966	45472641	+	33	NA	intron (ENSMUST00000147448.1, intron 2 of 2)	-intron (ENSMUST00000061986.11, intron 2 of 5)	10499	ENSMUST00000147926.7	ENSMUST00000147926	ENSMUST00000147926						NA
H3K27ac_i73_peak_3463	chr15	79025753	79025952	+	33	NA	promoter-TSS (ENSMUST00000229708.1)	-promoter-TSS (ENSMUST00000229708.1)	-70	ENSMUST00000229708.1	ENSMUST00000229708	ENSMUST00000229708						NA
H3K27ac_i73_peak_4354	chr17	48041434	48042316	+	33	NA	Intergenic	Intergenic	-3582	ENSMUST00000178823.1	ENSMUST00000178823	ENSMUST00000178823						NA
H3K27ac_i73_peak_8340	chr6	134919805	134920004	+	33	NA	promoter-TSS (ENSMUST00000003115.8)	-promoter-TSS (ENSMUST00000003115.8)	-497	ENSMUST00000067327.10	ENSMUST00000067327	ENSMUST00000067327						NA
H3K27ac_i73_peak_981	chr10	81542778	81543221	+	33	NA	intron (ENSMUST00000043604.5, intron 1 of 6)	-intron (ENSMUST00000043604.5, intron 1 of 6)	2191	ENSMUST00000043604.5	ENSMUST00000043604	ENSMUST00000043604						NA
H3K27ac_i73_peak_6655	chr4	59238669	59239154	+	33	NA	Intergenic	Intergenic	-21140	ENSMUST00000124589.1	ENSMUST00000124589	ENSMUST00000124589						NA
H3K27ac_i73_peak_8251	chr6	124424085	124424400	+	33	NA	Intergenic	Intergenic	-9175	ENSMUST00000080557.11	ENSMUST00000080557	ENSMUST00000080557						NA
H3K27ac_i73_peak_5513	chr2	38533835	38534061	+	33	NA	exon (ENSMUST00000204769.1, exon 1 of 1)	-exon (ENSMUST00000204769.1, exon 1 of 1)	1759	ENSMUST00000204769.1	ENSMUST00000204769	ENSMUST00000204769						NA
H3K27ac_i73_peak_9628	chr8	114561267	114561787	+	33	NA	intron (ENSMUST00000160862.7, intron 5 of 8)	-intron (ENSMUST00000004756.13, intron 5 of 8)	33373	ENSMUST00000159472.1	ENSMUST00000159472	ENSMUST00000159472						NA
H3K27ac_i73_peak_3972	chr16	44173623	44173950	+	33	NA	intron (ENSMUST00000169582.2, intron 1 of 7)	-intron (ENSMUST00000088356.9, intron 1 of 6)	389	ENSMUST00000169582.2	ENSMUST00000169582	ENSMUST00000169582						NA
H3K27ac_i73_peak_9136	chr7	141172276	141173136	+	33	NA	intron (ENSMUST00000167493.8, intron 1 of 9)	-intron (ENSMUST00000167493.8, intron 1 of 9)	151	ENSMUST00000167493.8	ENSMUST00000167493	ENSMUST00000167493						NA
H3K27ac_i73_peak_2353	chr12	108854377	108855441	+	33	NA	intron (ENSMUST00000221787.1, intron 4 of 4)	-intron (ENSMUST00000057026.9, intron 4 of 5)	3770	ENSMUST00000221080.1	ENSMUST00000221080	ENSMUST00000221080						NA
H3K27ac_i73_peak_6731	chr4	98510009	98510290	+	33	NA	intron (ENSMUST00000238306.1, intron 21 of 44)	-intron (ENSMUST00000041284.9, intron 21 of 43)	-8822	ENSMUST00000134901.1	ENSMUST00000134901	ENSMUST00000134901						NA
H3K27ac_i73_peak_8749	chr7	67660407	67661128	+	33	NA	TTS (ENSMUST00000135236.1)	-TTS (ENSMUST00000135236.1)	5320	ENSMUST00000107470.1	ENSMUST00000107470	ENSMUST00000107470						NA
H3K27ac_i73_peak_7422	chr5	99251592	99252056	+	33	NA	intron (ENSMUST00000209346.1, intron 4 of 16)	-intron (ENSMUST00000031276.14, intron 1 of 13)	1103	ENSMUST00000031276.14	ENSMUST00000031276	ENSMUST00000031276						NA
H3K27ac_i73_peak_9944	chr9	44965203	44965511	+	33	NA	intron (ENSMUST00000214761.1, intron 1 of 4)	-intron (ENSMUST00000117506.8, intron 1 of 19)	168	ENSMUST00000145657.8	ENSMUST00000145657	ENSMUST00000145657						NA
H3K27ac_i73_peak_704	chr10	13982987	13983357	+	33	NA	intron (ENSMUST00000185392.1, intron 1 of 1)	-intron (ENSMUST00000015645.10, intron 1 of 8)	16148	ENSMUST00000191464.1	ENSMUST00000191464	ENSMUST00000191464						NA
H3K27ac_i73_peak_4691	chr18	36280583	36280782	+	33	NA	promoter-TSS (ENSMUST00000051301.5)	-promoter-TSS (ENSMUST00000051301.5)	-415	ENSMUST00000051301.5	ENSMUST00000051301	ENSMUST00000051301						NA
H3K27ac_i73_peak_1441	chr11	58978566	58978814	+	33	NA	promoter-TSS (ENSMUST00000131221.1)	-promoter-TSS (ENSMUST00000131221.1)	574	ENSMUST00000093061.6	ENSMUST00000093061	ENSMUST00000093061						NA
H3K27ac_i73_peak_664	chr1	191792982	191793989	+	33	NA	Intergenic	Intergenic	-2171	ENSMUST00000192352.1	ENSMUST00000192352	ENSMUST00000192352						NA
H3K27ac_i73_peak_5967	chr2	167316211	167316410	+	33	NA	intron (ENSMUST00000109221.8, intron 1 of 8)	-intron (ENSMUST00000109221.8, intron 1 of 8)	-2410	ENSMUST00000133557.1	ENSMUST00000133557	ENSMUST00000133557						NA
H3K27ac_i73_peak_7227	chr5	28065903	28066899	+	33	NA	intron (ENSMUST00000180740.1, intron 1 of 2)	-intron (ENSMUST00000180740.1, intron 1 of 2)	4704	ENSMUST00000180740.1	ENSMUST00000180740	ENSMUST00000180740						NA
